x,y,z
1.78,1.96,1.2
1.81,1.96,1.2
1.84,1.96,1.2
1.87,1.96,1.2
1.9,1.96,1.2
1.93,1.96,1.2
1.96,1.96,1.2
1.99,1.96,1.2
2.02,1.96,1.2
2.05,1.96,1.2
2.08,1.96,1.2
2.11,1.96,1.2
2.14,1.96,1.2
2.17,1.96,1.2
2.2,1.96,1.2
2.23,1.96,1.2
2.26,1.96,1.2
2.29,1.96,1.2
2.32,1.96,1.2
2.35,1.96,1.2
2.38,1.96,1.2
2.41,1.96,1.2
2.44,1.96,1.2
2.47,1.96,1.2
2.5,1.96,1.2
2.53,1.96,1.2
2.56,1.96,1.2
2.59,1.96,1.2
2.62,1.96,1.2
2.65,1.96,1.2
2.68,1.96,1.2
2.71,1.96,1.2
2.74,1.96,1.2
2.77,1.96,1.2
2.8,1.96,1.2
2.83,1.96,1.2
2.86,1.96,1.2
2.89,1.96,1.2
2.92,1.96,1.2
2.95,1.96,1.2
2.98,1.96,1.2
3.01,1.96,1.2
3.04,1.96,1.2
3.07,1.96,1.2
3.1,1.96,1.2
3.13,1.96,1.2
3.16,1.96,1.2
3.19,1.96,1.2
3.22,1.96,1.2
3.25,1.96,1.2
3.28,1.96,1.2
3.31,1.96,1.2
3.34,1.96,1.2
3.37,1.96,1.2
3.4,1.96,1.2
3.43,1.96,1.2
3.46,1.96,1.2
3.49,1.96,1.2
3.52,1.96,1.2
3.55,1.96,1.2
3.58,1.96,1.2
3.61,1.96,1.2
3.64,1.96,1.2
3.67,1.96,1.2
